format=1 tracks=8 division=96

BA   24   CR         3   TR  2   CH  2   NT  C''         47/96   voff=0
BA   24   CR         3   TR  2   CH  2   NT  A'          47/96   voff=0
BA   24   CR         3   TR  2   CH  2   NT  F#'         47/96   voff=0
BA   24   CR         3   TR  2   CH  2   NT  Eb'         47/96   voff=0
BA   24   CR         3   TR  2   CH  2   NT  C'          47/96   voff=0
BA   24   CR         3   TR  3   CH  3   NT  C'          47/96   voff=0
BA   24   CR         3   TR  3   CH  3   NT  Eb'         47/96   voff=0
BA   24   CR         3   TR  3   CH  3   NT  F#'         47/96   voff=0
BA   24   CR         3   TR  3   CH  3   NT  A'          47/96   voff=0
BA   24   CR         3   TR  3   CH  3   NT  C''         47/96   voff=0
BA   24   CR         3   TR  5   CH  5   NT  C'          47/96   voff=0
BA   24   CR         3   TR  5   CH  5   NT  C           47/96   voff=0
BA   24   CR         3   TR  7   CH 10   NT  B---        23/96   voff=0

BA   25   CR         0   TR  1   CH  1   Instrument 62
BA   25   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   25   CR         0   TR  2   CH  2   Instrument 62
BA   25   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   25   CR         0   TR  3   CH  3   Instrument 62
BA   25   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   25   CR         0   TR  4   CH  4   Instrument 3
BA   25   CR         0   TR  5   CH  5   Instrument 56
BA   25   CR         0   TR  6   CH  6   Instrument 3
BA   25   CR         0   TR  7   CH 10   Instrument 1
BA   25   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   25   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   25   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   25   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   25   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   25   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   25   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   25   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   25   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   25   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   25   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   25   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   25   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   25   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   25   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   25   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   25   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   25   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   25   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   25   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   25   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   25   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   26   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   26   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   26   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   26   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   26   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   26   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   26   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   26   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   26   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   26   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   26   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   26   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   26   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   26   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   26   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   26   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   26   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   26   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   26   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   26   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   26   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   26   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   27   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   27   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   27   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   27   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   27   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   27   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   27   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   27   CR         1   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   27   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   27   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   27   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   27   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   27   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   27   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   27   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   27   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   27   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   27   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   27   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   27   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   27   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   27   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   27   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   27   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   27   CR     3+1/2   TR  4   CH  4   NT  C'          23/96   voff=0
BA   27   CR     3+3/4   TR  4   CH  4   NT  D'          23/96   voff=0
BA   27   CR     3+3/4   TR  6   CH  6   NT  C'          23/96   voff=0

BA   28   CR         0   TR  4   CH  4   NT  A-          71/96   voff=0
BA   28   CR         0   TR  4   CH  4   NT  F           71/96   voff=0
BA   28   CR         0   TR  4   CH  4   NT  C'          71/96   voff=0
BA   28   CR         0   TR  4   CH  4   NT  F'          71/96   voff=0
BA   28   CR         0   TR  6   CH  6   NT  D'          23/96   voff=0
BA   28   CR       1/4   TR  6   CH  6   NT  A-          71/96   voff=0
BA   28   CR       1/4   TR  6   CH  6   NT  F           71/96   voff=0
BA   28   CR       1/4   TR  6   CH  6   NT  C'          71/96   voff=0
BA   28   CR       1/4   TR  6   CH  6   NT  F'          71/96   voff=0
BA   28   CR       3/4   TR  4   CH  4   NT  G-          71/96   voff=0
BA   28   CR       3/4   TR  4   CH  4   NT  G           71/96   voff=0
BA   28   CR       3/4   TR  4   CH  4   NT  C'          71/96   voff=0
BA   28   CR       3/4   TR  4   CH  4   NT  E'          71/96   voff=0
BA   28   CR         1   TR  6   CH  6   NT  G-          71/96   voff=0
BA   28   CR         1   TR  6   CH  6   NT  G           71/96   voff=0
BA   28   CR         1   TR  6   CH  6   NT  C'          71/96   voff=0
BA   28   CR         1   TR  6   CH  6   NT  E'          71/96   voff=0
BA   28   CR     1+1/2   TR  4   CH  4   NT  G-          47/96   voff=0
BA   28   CR     1+1/2   TR  4   CH  4   NT  F           47/96   voff=0
BA   28   CR     1+1/2   TR  4   CH  4   NT  B           47/96   voff=0
BA   28   CR     1+1/2   TR  4   CH  4   NT  D'          47/96   voff=0
BA   28   CR     1+3/4   TR  6   CH  6   NT  G-          47/96   voff=0
BA   28   CR     1+3/4   TR  6   CH  6   NT  F           47/96   voff=0
BA   28   CR     1+3/4   TR  6   CH  6   NT  B           47/96   voff=0
BA   28   CR     1+3/4   TR  6   CH  6   NT  D'          47/96   voff=0
BA   28   CR         2   TR  4   CH  4   NT  F-          47/96   voff=0
BA   28   CR         2   TR  4   CH  4   NT  C           47/96   voff=0
BA   28   CR         2   TR  4   CH  4   NT  A           47/96   voff=0
BA   28   CR         2   TR  4   CH  4   NT  C'          47/96   voff=0
BA   28   CR     2+1/4   TR  6   CH  6   NT  C'          47/96   voff=0
BA   28   CR     2+1/4   TR  6   CH  6   NT  A           47/96   voff=0
BA   28   CR     2+1/4   TR  6   CH  6   NT  C           47/96   voff=0
BA   28   CR     2+1/4   TR  6   CH  6   NT  F-          47/96   voff=0
BA   28   CR         3   TR  1   CH  1   NT  C''         47/96   voff=0
BA   28   CR         3   TR  1   CH  1   NT  A'          47/96   voff=0
BA   28   CR         3   TR  1   CH  1   NT  F#'         47/96   voff=0
BA   28   CR         3   TR  1   CH  1   NT  Eb'         47/96   voff=0
BA   28   CR         3   TR  1   CH  1   NT  C'          47/96   voff=0
BA   28   CR         3   TR  2   CH  2   NT  C''         47/96   voff=0
BA   28   CR         3   TR  2   CH  2   NT  A'          47/96   voff=0
BA   28   CR         3   TR  2   CH  2   NT  F#'         47/96   voff=0
BA   28   CR         3   TR  2   CH  2   NT  Eb'         47/96   voff=0
BA   28   CR         3   TR  2   CH  2   NT  C'          47/96   voff=0
BA   28   CR         3   TR  3   CH  3   NT  C'          47/96   voff=0
BA   28   CR         3   TR  3   CH  3   NT  Eb'         47/96   voff=0
BA   28   CR         3   TR  3   CH  3   NT  F#'         47/96   voff=0
BA   28   CR         3   TR  3   CH  3   NT  A'          47/96   voff=0
BA   28   CR         3   TR  3   CH  3   NT  C''         47/96   voff=0
BA   28   CR         3   TR  5   CH  5   NT  C'          47/96   voff=0
BA   28   CR         3   TR  5   CH  5   NT  C           47/96   voff=0
BA   28   CR         3   TR  7   CH 10   NT  B---        23/96   voff=0

BA   29   CR         0   TR  1   CH  1   Instrument 62
BA   29   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   29   CR         0   TR  2   CH  2   Instrument 62
BA   29   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   29   CR         0   TR  3   CH  3   Instrument 62
BA   29   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   29   CR         0   TR  4   CH  4   Instrument 3
BA   29   CR         0   TR  5   CH  5   Instrument 56
BA   29   CR         0   TR  6   CH  6   Instrument 3
BA   29   CR         0   TR  7   CH 10   Instrument 1
BA   29   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   29   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   29   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   29   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   29   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   29   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   29   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   29   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   29   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   29   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   29   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   29   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   29   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   29   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   29   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA   29   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA   29   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA   29   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   29   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   29   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   29   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   29   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   30   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   30   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   30   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   30   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   30   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   30   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   30   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   30   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA   30   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   30   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   30   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA   30   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA   30   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA   30   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA   30   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA   30   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA   30   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   30   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA   30   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   30   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   30   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   30   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA   31   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA   31   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA   31   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA   31   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA   31   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   31   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   31   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA   31   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA   31   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA   31   CR         1   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA   31   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA   31   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA   31   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA   31   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
